date,temperature,humidity,luminosity
2022-11-17 15:22:40.117,25.5,35.7,1551
2022-11-17 15:22:35.073,25.5,35.8,1550
2022-11-17 15:22:30.030,25.5,35.9,1549
2022-11-17 15:22:24.986,25.5,36.0,1549
2022-11-17 15:22:19.942,25.6,35.9,1552
2022-11-17 15:22:14.898,25.5,36.1,1552
2022-11-17 15:22:09.854,25.6,36.1,1553
2022-11-17 15:22:04.811,25.5,36.1,1552
2022-11-17 15:21:59.767,25.5,36.2,1547
2022-11-17 15:21:54.724,25.5,36.0,1548
2022-11-17 15:21:49.682,25.4,35.9,1550
2022-11-17 15:21:44.637,25.5,35.8,1551
2022-11-17 15:21:39.593,25.5,35.9,1552
2022-11-17 15:21:34.550,25.5,35.8,1552
2022-11-17 15:21:29.507,25.5,35.8,1549
2022-11-17 15:21:24.463,25.4,35.6,1547
2022-11-17 15:21:19.419,25.4,35.8,1547
2022-11-17 15:21:14.375,25.5,36.0,1550
2022-11-17 15:21:09.331,25.5,36.1,1552
2022-11-17 15:21:04.287,25.4,36.3,1548
2022-11-17 15:20:59.243,25.5,36.4,1554
2022-11-17 15:20:54.199,25.4,36.7,1550
2022-11-17 15:20:49.156,25.5,37.0,1545
2022-11-17 15:20:44.112,25.5,37.0,1546
2022-11-17 15:20:39.069,25.5,36.7,1549
2022-11-17 15:20:34.027,25.5,36.5,1549
2022-11-17 15:20:28.982,25.6,36.3,1551
2022-11-17 15:20:23.939,25.5,36.4,1551
2022-11-17 15:20:18.894,25.6,36.3,1552
2022-11-17 15:20:13.850,25.5,36.3,1549
2022-11-17 15:20:08.807,25.5,36.4,1546
2022-11-17 15:20:03.764,25.6,36.3,1546
2022-11-17 15:19:58.720,25.6,36.4,1548
2022-11-17 15:19:53.677,25.6,36.5,1546
2022-11-17 15:19:48.633,25.6,36.5,1545
2022-11-17 15:19:43.589,25.6,36.5,1545
2022-11-17 15:19:38.546,25.6,36.4,1546
2022-11-17 15:19:33.503,25.5,36.6,1547
2022-11-17 15:19:28.460,25.6,36.8,1547
2022-11-17 15:19:23.417,25.7,37.0,1553
2022-11-17 15:19:18.375,25.7,37.2,1552
2022-11-17 15:19:13.331,25.7,37.6,1549
2022-11-17 15:19:08.288,25.8,38.1,1552
2022-11-17 15:19:03.245,25.8,38.7,1547
2022-11-17 15:18:58.201,25.9,39.4,1547
2022-11-17 15:18:53.157,25.7,37.5,1548
2022-11-17 15:18:48.115,25.6,36.3,11
2022-11-17 15:18:43.071,25.5,35.6,14
2022-11-17 15:18:38.028,25.5,35.5,1545
2022-11-17 15:18:32.984,25.5,35.6,1546
2022-11-17 15:18:27.942,25.5,35.7,1541
2022-11-17 15:18:22.898,25.4,35.6,1538
2022-11-17 15:18:17.854,25.5,35.3,1541
2022-11-17 15:18:12.810,25.4,35.3,1545
2022-11-17 15:18:07.766,25.5,35.1,1547
2022-11-17 15:18:02.723,25.5,35.0,1545
2022-11-17 15:17:57.679,25.5,35.1,1540
2022-11-17 15:17:52.635,25.5,35.1,1477
2022-11-17 15:17:47.592,25.5,35.4,1542
2022-11-17 15:17:42.549,25.4,35.4,1546
2022-11-17 15:17:37.505,25.5,35.6,1547
2022-11-17 15:17:32.462,25.4,35.5,1545
2022-11-17 15:17:27.418,25.5,35.6,1541
2022-11-17 15:17:22.374,25.5,35.6,1546
2022-11-17 15:17:17.330,25.5,35.7,1547
2022-11-17 15:17:12.287,25.5,35.6,1545
